url_stimulus,fd_level,n,n_h,n_a,bias
images/FD16/FD_16_62.png,FD16,99,32,23,-0.16363636363636364
images/FD16/FD_16_63.png,FD16,113,30,24,-0.1111111111111111
images/FD16/FD_16_64.png,FD16,67,19,20,0.02564102564102564
images/FD16/FD_16_65.png,FD16,83,23,23,0.0
images/FD16/FD_16_66.png,FD16,84,25,17,-0.19047619047619047
images/FD16/FD_16_67.png,FD16,67,20,19,-0.02564102564102564
images/FD16/FD_16_68.png,FD16,95,26,18,-0.18181818181818182
images/FD16/FD_16_69.png,FD16,101,21,33,0.2222222222222222
images/FD16/FD_16_7.png,FD16,72,16,16,0.0
images/FD16/FD_16_70.png,FD16,90,18,27,0.2
images/FD16/FD_16_71.png,FD16,48,16,13,-0.10344827586206896
images/FD16/FD_16_72.png,FD16,106,20,26,0.13043478260869565
images/FD16/FD_16_73.png,FD16,102,32,22,-0.18518518518518517
images/FD16/FD_16_74.png,FD16,57,8,23,0.4838709677419355
images/FD16/FD_16_75.png,FD16,93,23,20,-0.06976744186046512
images/FD16/FD_16_76.png,FD16,74,20,12,-0.25
images/FD16/FD_16_77.png,FD16,86,20,19,-0.02564102564102564
images/FD16/FD_16_78.png,FD16,94,23,18,-0.12195121951219512
images/FD16/FD_16_79.png,FD16,63,14,17,0.0967741935483871
images/FD16/FD_16_8.png,FD16,110,30,36,0.09090909090909091
images/FD16/FD_16_80.png,FD16,92,22,30,0.15384615384615385
images/FD16/FD_16_81.png,FD16,79,19,21,0.05
images/FD16/FD_16_82.png,FD16,94,30,18,-0.25
images/FD16/FD_16_83.png,FD16,89,16,15,-0.03225806451612903
images/FD16/FD_16_84.png,FD16,80,7,23,0.5333333333333333
images/FD16/FD_16_85.png,FD16,77,6,20,0.5384615384615384
images/FD16/FD_16_86.png,FD16,104,17,32,0.30612244897959184
images/FD16/FD_16_87.png,FD16,84,22,18,-0.1
images/FD16/FD_16_88.png,FD16,110,22,28,0.12
images/FD16/FD_16_89.png,FD16,78,27,9,-0.5
images/FD16/FD_16_9.png,FD16,86,22,20,-0.047619047619047616
images/FD16/FD_16_90.png,FD16,86,23,21,-0.045454545454545456
images/FD16/FD_16_91.png,FD16,98,14,30,0.36363636363636365
images/FD16/FD_16_92.png,FD16,63,12,19,0.22580645161290322
images/FD16/FD_16_93.png,FD16,78,12,27,0.38461538461538464
images/FD16/FD_16_94.png,FD16,69,16,18,0.058823529411764705
images/FD16/FD_16_95.png,FD16,124,49,26,-0.30666666666666664
images/FD16/FD_16_96.png,FD16,92,30,22,-0.15384615384615385
images/FD16/FD_16_97.png,FD16,82,22,22,0.0
images/FD16/FD_16_98.png,FD16,79,22,17,-0.1282051282051282
images/FD16/FD_16_99.png,FD16,88,38,15,-0.4339622641509434
